"Statistic","Year","County","School Programme","UNIT","VALUE"
"Pupils in National Schools","1995","Waterford City","Pupils with special needs in mainstream national schools","Number","45"
"Pupils in National Schools","1995","Waterford City","Pupils in special national schools","Number","220"
"Pupils in National Schools","1995","Waterford County","All first level school programmes","Number","6993"
"Pupils in National Schools","1995","Waterford County","All mainstream national school programmes","Number","6940"
"Pupils in National Schools","1995","Waterford County","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","1995","Waterford County","Pupils in special national schools","Number","53"
"Pupils in National Schools","1995","Galway City","All first level school programmes","Number","7093"
"Pupils in National Schools","1995","Galway City","All mainstream national school programmes","Number","6758"
"Pupils in National Schools","1995","Galway City","Pupils with special needs in mainstream national schools","Number","117"
"Pupils in National Schools","1995","Galway City","Pupils in special national schools","Number","218"
"Pupils in National Schools","1995","Galway County","All first level school programmes","Number","18963"
"Pupils in National Schools","1995","Galway County","All mainstream national school programmes","Number","18836"
"Pupils in National Schools","1995","Galway County","Pupils with special needs in mainstream national schools","Number","127"
"Pupils in National Schools","1995","Galway County","Pupils in special national schools","Number",""
"Pupils in National Schools","1995","Leitrim","All first level school programmes","Number","3467"
"Pupils in National Schools","1995","Leitrim","All mainstream national school programmes","Number","3460"
"Pupils in National Schools","1995","Leitrim","Pupils with special needs in mainstream national schools","Number","7"
"Pupils in National Schools","1995","Leitrim","Pupils in special national schools","Number","0"
"Pupils in National Schools","1995","Mayo","All first level school programmes","Number","16573"
"Pupils in National Schools","1995","Mayo","All mainstream national school programmes","Number","16347"
"Pupils in National Schools","1995","Mayo","Pupils with special needs in mainstream national schools","Number","81"
"Pupils in National Schools","1995","Mayo","Pupils in special national schools","Number","145"
"Pupils in National Schools","1995","Roscommon","All first level school programmes","Number","7131"
"Pupils in National Schools","1995","Roscommon","All mainstream national school programmes","Number","7052"
"Pupils in National Schools","1995","Roscommon","Pupils with special needs in mainstream national schools","Number","47"
"Pupils in National Schools","1995","Roscommon","Pupils in special national schools","Number","32"
"Pupils in National Schools","1995","Sligo","All first level school programmes","Number","7689"
"Pupils in National Schools","1995","Sligo","All mainstream national school programmes","Number","7571"
"Pupils in National Schools","1995","Sligo","Pupils with special needs in mainstream national schools","Number","30"
"Pupils in National Schools","1995","Sligo","Pupils in special national schools","Number","88"
"Pupils in National Schools","1995","Cavan","All first level school programmes","Number","8240"
"Pupils in National Schools","1995","Cavan","All mainstream national school programmes","Number","8075"
"Pupils in National Schools","1995","Cavan","Pupils with special needs in mainstream national schools","Number","98"
"Pupils in National Schools","1995","Cavan","Pupils in special national schools","Number","67"
"Pupils in National Schools","1995","Donegal","All first level school programmes","Number","19421"
"Pupils in National Schools","1995","Donegal","All mainstream national school programmes","Number","19235"
"Pupils in National Schools","1995","Donegal","Pupils with special needs in mainstream national schools","Number","82"
"Pupils in National Schools","1995","Donegal","Pupils in special national schools","Number","104"
"Pupils in National Schools","1995","Monaghan","All first level school programmes","Number","7761"
"Pupils in National Schools","1995","Monaghan","All mainstream national school programmes","Number","7702"
"Pupils in National Schools","1995","Monaghan","Pupils with special needs in mainstream national schools","Number","49"
"Pupils in National Schools","1995","Monaghan","Pupils in special national schools","Number","10"
"Pupils in National Schools","1996","All Counties","All first level school programmes","Number","478692"
"Pupils in National Schools","1996","All Counties","All mainstream national school programmes","Number","465854"
"Pupils in National Schools","1996","All Counties","Pupils with special needs in mainstream national schools","Number","5186"
"Pupils in National Schools","1996","All Counties","Pupils in special national schools","Number","7652"
"Pupils in National Schools","1996","Carlow","All first level school programmes","Number","6137"
"Pupils in National Schools","1996","Carlow","All mainstream national school programmes","Number","5995"
"Pupils in National Schools","1996","Carlow","Pupils with special needs in mainstream national schools","Number","24"
"Pupils in National Schools","1996","Carlow","Pupils in special national schools","Number","118"
"Pupils in National Schools","1996","Dublin City","All first level school programmes","Number","50629"
"Pupils in National Schools","1996","Dublin City","All mainstream national school programmes","Number","47448"
"Pupils in National Schools","1996","Dublin City","Pupils with special needs in mainstream national schools","Number","825"
"Pupils in National Schools","1996","Dublin City","Pupils in special national schools","Number","2356"
"Pupils in National Schools","1996","South Dublin","All first level school programmes","Number","31691"
"Pupils in National Schools","1996","South Dublin","All mainstream national school programmes","Number","30579"
"Pupils in National Schools","1996","South Dublin","Pupils with special needs in mainstream national schools","Number","709"
"Pupils in National Schools","1996","South Dublin","Pupils in special national schools","Number","403"
"Pupils in National Schools","1996","Fingal","All first level school programmes","Number","23985"
"Pupils in National Schools","1996","Fingal","All mainstream national school programmes","Number","23567"
"Pupils in National Schools","1996","Fingal","Pupils with special needs in mainstream national schools","Number","287"
"Pupils in National Schools","1996","Fingal","Pupils in special national schools","Number","131"
"Pupils in National Schools","1996","Dún Laoghaire-Rathdown","All first level school programmes","Number","17701"
"Pupils in National Schools","1996","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","17236"
"Pupils in National Schools","1996","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","138"
"Pupils in National Schools","1996","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","327"
"Pupils in National Schools","1996","Kildare","All first level school programmes","Number","19551"
"Pupils in National Schools","1996","Kildare","All mainstream national school programmes","Number","19231"
"Pupils in National Schools","1996","Kildare","Pupils with special needs in mainstream national schools","Number","112"
"Pupils in National Schools","1996","Kildare","Pupils in special national schools","Number","208"
"Pupils in National Schools","1996","Kilkenny","All first level school programmes","Number","10273"
"Pupils in National Schools","1996","Kilkenny","All mainstream national school programmes","Number","10077"
"Pupils in National Schools","1996","Kilkenny","Pupils with special needs in mainstream national schools","Number","19"
"Pupils in National Schools","1996","Kilkenny","Pupils in special national schools","Number","177"
"Pupils in National Schools","1996","Laois","All first level school programmes","Number","7320"
"Pupils in National Schools","1996","Laois","All mainstream national school programmes","Number","7150"
"Pupils in National Schools","1996","Laois","Pupils with special needs in mainstream national schools","Number","55"
"Pupils in National Schools","1996","Laois","Pupils in special national schools","Number","115"
"Pupils in National Schools","1996","Longford","All first level school programmes","Number","4318"
"Pupils in National Schools","1996","Longford","All mainstream national school programmes","Number","4194"
"Pupils in National Schools","1996","Longford","Pupils with special needs in mainstream national schools","Number","91"
"Pupils in National Schools","1996","Longford","Pupils in special national schools","Number","33"
"Pupils in National Schools","1996","Louth","All first level school programmes","Number","13281"
"Pupils in National Schools","1996","Louth","All mainstream national school programmes","Number","12987"
"Pupils in National Schools","1996","Louth","Pupils with special needs in mainstream national schools","Number","65"
"Pupils in National Schools","1996","Louth","Pupils in special national schools","Number","229"
"Pupils in National Schools","1996","Meath","All first level school programmes","Number","15967"
"Pupils in National Schools","1996","Meath","All mainstream national school programmes","Number","15645"
"Pupils in National Schools","1996","Meath","Pupils with special needs in mainstream national schools","Number","135"
"Pupils in National Schools","1996","Meath","Pupils in special national schools","Number","187"
"Pupils in National Schools","1996","Offaly","All first level school programmes","Number","8860"
"Pupils in National Schools","1996","Offaly","All mainstream national school programmes","Number","8715"
"Pupils in National Schools","1996","Offaly","Pupils with special needs in mainstream national schools","Number","145"
"Pupils in National Schools","1996","Offaly","Pupils in special national schools","Number",""
"Pupils in National Schools","1996","Westmeath","All first level school programmes","Number","9138"
"Pupils in National Schools","1996","Westmeath","All mainstream national school programmes","Number","8887"
"Pupils in National Schools","1996","Westmeath","Pupils with special needs in mainstream national schools","Number","117"
"Pupils in National Schools","1996","Westmeath","Pupils in special national schools","Number","134"
"Pupils in National Schools","1996","Wexford","All first level school programmes","Number","14979"
"Pupils in National Schools","1996","Wexford","All mainstream national school programmes","Number","14522"
"Pupils in National Schools","1996","Wexford","Pupils with special needs in mainstream national schools","Number","243"
"Pupils in National Schools","1996","Wexford","Pupils in special national schools","Number","214"
"Pupils in National Schools","1996","Wicklow","All first level school programmes","Number","14196"
"Pupils in National Schools","1996","Wicklow","All mainstream national school programmes","Number","13817"
"Pupils in National Schools","1996","Wicklow","Pupils with special needs in mainstream national schools","Number","109"
"Pupils in National Schools","1996","Wicklow","Pupils in special national schools","Number","270"
"Pupils in National Schools","1996","Clare","All first level school programmes","Number","12361"
"Pupils in National Schools","1996","Clare","All mainstream national school programmes","Number","12065"
"Pupils in National Schools","1996","Clare","Pupils with special needs in mainstream national schools","Number","151"
"Pupils in National Schools","1996","Clare","Pupils in special national schools","Number","145"
"Pupils in National Schools","1996","Cork City","All first level school programmes","Number","17401"
"Pupils in National Schools","1996","Cork City","All mainstream national school programmes","Number","16808"
"Pupils in National Schools","1996","Cork City","Pupils with special needs in mainstream national schools","Number","150"
"Pupils in National Schools","1996","Cork City","Pupils in special national schools","Number","443"
"Pupils in National Schools","1996","Cork County","All first level school programmes","Number","37033"
"Pupils in National Schools","1996","Cork County","All mainstream national school programmes","Number","36595"
"Pupils in National Schools","1996","Cork County","Pupils with special needs in mainstream national schools","Number","142"
"Pupils in National Schools","1996","Cork County","Pupils in special national schools","Number","296"
"Pupils in National Schools","1996","Kerry","All first level school programmes","Number","16292"
"Pupils in National Schools","1996","Kerry","All mainstream national school programmes","Number","15787"
"Pupils in National Schools","1996","Kerry","Pupils with special needs in mainstream national schools","Number","257"
"Pupils in National Schools","1996","Kerry","Pupils in special national schools","Number","248"
"Pupils in National Schools","1996","Limerick","All first level school programmes","Number",""
"Pupils in National Schools","1996","Limerick","All mainstream national school programmes","Number",""
"Pupils in National Schools","1996","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","1996","Limerick","Pupils in special national schools","Number",""
"Pupils in National Schools","1996","Limerick City","All first level school programmes","Number","7722"
"Pupils in National Schools","1996","Limerick City","All mainstream national school programmes","Number","7372"
"Pupils in National Schools","1996","Limerick City","Pupils with special needs in mainstream national schools","Number","69"
"Pupils in National Schools","1996","Limerick City","Pupils in special national schools","Number","281"
"Pupils in National Schools","1996","Limerick County","All first level school programmes","Number","15055"
"Pupils in National Schools","1996","Limerick County","All mainstream national school programmes","Number","14757"
"Pupils in National Schools","1996","Limerick County","Pupils with special needs in mainstream national schools","Number","161"
"Pupils in National Schools","1996","Limerick County","Pupils in special national schools","Number","137"
"Pupils in National Schools","1996","Tipperary","All first level school programmes","Number","18478"
"Pupils in National Schools","1996","Tipperary","All mainstream national school programmes","Number","18003"
"Pupils in National Schools","1996","Tipperary","Pupils with special needs in mainstream national schools","Number","212"
"Pupils in National Schools","1996","Tipperary","Pupils in special national schools","Number","263"
"Pupils in National Schools","1996","Waterford","All first level school programmes","Number",""
"Pupils in National Schools","1996","Waterford","All mainstream national school programmes","Number",""
"Pupils in National Schools","1996","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","1996","Waterford","Pupils in special national schools","Number",""
"Pupils in National Schools","1996","Waterford City","All first level school programmes","Number","5936"
"Pupils in National Schools","1996","Waterford City","All mainstream national school programmes","Number","5650"
"Pupils in National Schools","1996","Waterford City","Pupils with special needs in mainstream national schools","Number","48"
"Pupils in National Schools","1996","Waterford City","Pupils in special national schools","Number","238"
"Pupils in National Schools","1996","Waterford County","All first level school programmes","Number","6853"
"Pupils in National Schools","1996","Waterford County","All mainstream national school programmes","Number","6782"
"Pupils in National Schools","1996","Waterford County","Pupils with special needs in mainstream national schools","Number","15"
"Pupils in National Schools","1996","Waterford County","Pupils in special national schools","Number","56"
"Pupils in National Schools","1996","Galway City","All first level school programmes","Number","6903"
"Pupils in National Schools","1996","Galway City","All mainstream national school programmes","Number","6536"
"Pupils in National Schools","1996","Galway City","Pupils with special needs in mainstream national schools","Number","182"
"Pupils in National Schools","1996","Galway City","Pupils in special national schools","Number","185"
"Pupils in National Schools","1996","Galway County","All first level school programmes","Number","18446"
"Pupils in National Schools","1996","Galway County","All mainstream national school programmes","Number","18182"
"Pupils in National Schools","1996","Galway County","Pupils with special needs in mainstream national schools","Number","264"
"Pupils in National Schools","1996","Galway County","Pupils in special national schools","Number",""
"Pupils in National Schools","1996","Leitrim","All first level school programmes","Number","3328"
"Pupils in National Schools","1996","Leitrim","All mainstream national school programmes","Number","3313"
"Pupils in National Schools","1996","Leitrim","Pupils with special needs in mainstream national schools","Number","15"
"Pupils in National Schools","1996","Leitrim","Pupils in special national schools","Number","0"
"Pupils in National Schools","1996","Mayo","All first level school programmes","Number","16060"
"Pupils in National Schools","1996","Mayo","All mainstream national school programmes","Number","15803"
"Pupils in National Schools","1996","Mayo","Pupils with special needs in mainstream national schools","Number","109"
"Pupils in National Schools","1996","Mayo","Pupils in special national schools","Number","148"
"Pupils in National Schools","1996","Roscommon","All first level school programmes","Number","6941"
"Pupils in National Schools","1996","Roscommon","All mainstream national school programmes","Number","6860"
"Pupils in National Schools","1996","Roscommon","Pupils with special needs in mainstream national schools","Number","46"
"Pupils in National Schools","1996","Roscommon","Pupils in special national schools","Number","35"
"Pupils in National Schools","1996","Sligo","All first level school programmes","Number","7444"
"Pupils in National Schools","1996","Sligo","All mainstream national school programmes","Number","7327"
"Pupils in National Schools","1996","Sligo","Pupils with special needs in mainstream national schools","Number","22"
"Pupils in National Schools","1996","Sligo","Pupils in special national schools","Number","95"
"Pupils in National Schools","1996","Cavan","All first level school programmes","Number","8001"
"Pupils in National Schools","1996","Cavan","All mainstream national school programmes","Number","7821"
"Pupils in National Schools","1996","Cavan","Pupils with special needs in mainstream national schools","Number","107"
"Pupils in National Schools","1996","Cavan","Pupils in special national schools","Number","73"
"Pupils in National Schools","1996","Donegal","All first level school programmes","Number","18924"
"Pupils in National Schools","1996","Donegal","All mainstream national school programmes","Number","18731"
"Pupils in National Schools","1996","Donegal","Pupils with special needs in mainstream national schools","Number","91"
"Pupils in National Schools","1996","Donegal","Pupils in special national schools","Number","102"
"Pupils in National Schools","1996","Monaghan","All first level school programmes","Number","7488"
"Pupils in National Schools","1996","Monaghan","All mainstream national school programmes","Number","7412"
"Pupils in National Schools","1996","Monaghan","Pupils with special needs in mainstream national schools","Number","71"
"Pupils in National Schools","1996","Monaghan","Pupils in special national schools","Number","5"
"Pupils in National Schools","1997","All Counties","All first level school programmes","Number","469628"
"Pupils in National Schools","1997","All Counties","All mainstream national school programmes","Number","456094"
"Pupils in National Schools","1997","All Counties","Pupils with special needs in mainstream national schools","Number","5998"
"Pupils in National Schools","1997","All Counties","Pupils in special national schools","Number","7536"
"Pupils in National Schools","1997","Carlow","All first level school programmes","Number","5946"
"Pupils in National Schools","1997","Carlow","All mainstream national school programmes","Number","5792"
"Pupils in National Schools","1997","Carlow","Pupils with special needs in mainstream national schools","Number","33"
"Pupils in National Schools","1997","Carlow","Pupils in special national schools","Number","121"
"Pupils in National Schools","1997","Dublin City","All first level school programmes","Number","49819"
"Pupils in National Schools","1997","Dublin City","All mainstream national school programmes","Number","46611"
"Pupils in National Schools","1997","Dublin City","Pupils with special needs in mainstream national schools","Number","877"
"Pupils in National Schools","1997","Dublin City","Pupils in special national schools","Number","2331"
"Pupils in National Schools","1997","South Dublin","All first level school programmes","Number","30884"
"Pupils in National Schools","1997","South Dublin","All mainstream national school programmes","Number","29619"
"Pupils in National Schools","1997","South Dublin","Pupils with special needs in mainstream national schools","Number","851"
"Pupils in National Schools","1997","South Dublin","Pupils in special national schools","Number","414"
"Pupils in National Schools","1997","Fingal","All first level school programmes","Number","23755"
"Pupils in National Schools","1997","Fingal","All mainstream national school programmes","Number","23327"
"Pupils in National Schools","1997","Fingal","Pupils with special needs in mainstream national schools","Number","311"
"Pupils in National Schools","1997","Fingal","Pupils in special national schools","Number","117"
"Pupils in National Schools","1997","Dún Laoghaire-Rathdown","All first level school programmes","Number","17741"
"Pupils in National Schools","1997","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","17291"
"Pupils in National Schools","1997","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","127"
"Pupils in National Schools","1997","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","323"
"Pupils in National Schools","1997","Kildare","All first level school programmes","Number","19439"
"Pupils in National Schools","1997","Kildare","All mainstream national school programmes","Number","19109"
"Pupils in National Schools","1997","Kildare","Pupils with special needs in mainstream national schools","Number","126"
"Pupils in National Schools","1997","Kildare","Pupils in special national schools","Number","204"
"Pupils in National Schools","1997","Kilkenny","All first level school programmes","Number","10098"
"Pupils in National Schools","1997","Kilkenny","All mainstream national school programmes","Number","9878"
"Pupils in National Schools","1997","Kilkenny","Pupils with special needs in mainstream national schools","Number","41"
"Pupils in National Schools","1997","Kilkenny","Pupils in special national schools","Number","179"
"Pupils in National Schools","1997","Laois","All first level school programmes","Number","7155"
"Pupils in National Schools","1997","Laois","All mainstream national school programmes","Number","6983"
"Pupils in National Schools","1997","Laois","Pupils with special needs in mainstream national schools","Number","60"
"Pupils in National Schools","1997","Laois","Pupils in special national schools","Number","112"
"Pupils in National Schools","1997","Longford","All first level school programmes","Number","4192"
"Pupils in National Schools","1997","Longford","All mainstream national school programmes","Number","4073"
"Pupils in National Schools","1997","Longford","Pupils with special needs in mainstream national schools","Number","88"
"Pupils in National Schools","1997","Longford","Pupils in special national schools","Number","31"
"Pupils in National Schools","1997","Louth","All first level school programmes","Number","13000"
"Pupils in National Schools","1997","Louth","All mainstream national school programmes","Number","12700"
"Pupils in National Schools","1997","Louth","Pupils with special needs in mainstream national schools","Number","86"
"Pupils in National Schools","1997","Louth","Pupils in special national schools","Number","214"
"Pupils in National Schools","1997","Meath","All first level school programmes","Number","15869"
"Pupils in National Schools","1997","Meath","All mainstream national school programmes","Number","15521"
"Pupils in National Schools","1997","Meath","Pupils with special needs in mainstream national schools","Number","155"
"Pupils in National Schools","1997","Meath","Pupils in special national schools","Number","193"
"Pupils in National Schools","1997","Offaly","All first level school programmes","Number","8705"
"Pupils in National Schools","1997","Offaly","All mainstream national school programmes","Number","8520"
"Pupils in National Schools","1997","Offaly","Pupils with special needs in mainstream national schools","Number","185"
"Pupils in National Schools","1997","Offaly","Pupils in special national schools","Number",""
"Pupils in National Schools","1997","Westmeath","All first level school programmes","Number","9015"
"Pupils in National Schools","1997","Westmeath","All mainstream national school programmes","Number","8701"
"Pupils in National Schools","1997","Westmeath","Pupils with special needs in mainstream national schools","Number","180"
"Pupils in National Schools","1997","Westmeath","Pupils in special national schools","Number","134"
"Pupils in National Schools","1997","Wexford","All first level school programmes","Number","14740"
"Pupils in National Schools","1997","Wexford","All mainstream national school programmes","Number","14315"
"Pupils in National Schools","1997","Wexford","Pupils with special needs in mainstream national schools","Number","222"
"Pupils in National Schools","1997","Wexford","Pupils in special national schools","Number","203"
"Pupils in National Schools","1997","Wicklow","All first level school programmes","Number","13972"
"Pupils in National Schools","1997","Wicklow","All mainstream national school programmes","Number","13585"
"Pupils in National Schools","1997","Wicklow","Pupils with special needs in mainstream national schools","Number","113"
"Pupils in National Schools","1997","Wicklow","Pupils in special national schools","Number","274"
"Pupils in National Schools","1997","Clare","All first level school programmes","Number","12100"
"Pupils in National Schools","1997","Clare","All mainstream national school programmes","Number","11776"
"Pupils in National Schools","1997","Clare","Pupils with special needs in mainstream national schools","Number","195"
"Pupils in National Schools","1997","Clare","Pupils in special national schools","Number","129"
"Pupils in National Schools","1997","Cork City","All first level school programmes","Number","17010"
"Pupils in National Schools","1997","Cork City","All mainstream national school programmes","Number","16357"
"Pupils in National Schools","1997","Cork City","Pupils with special needs in mainstream national schools","Number","213"
"Pupils in National Schools","1997","Cork City","Pupils in special national schools","Number","440"
"Pupils in National Schools","1997","Cork County","All first level school programmes","Number","36332"
"Pupils in National Schools","1997","Cork County","All mainstream national school programmes","Number","35895"
"Pupils in National Schools","1997","Cork County","Pupils with special needs in mainstream national schools","Number","162"
"Pupils in National Schools","1997","Cork County","Pupils in special national schools","Number","275"
"Pupils in National Schools","1997","Kerry","All first level school programmes","Number","15781"
"Pupils in National Schools","1997","Kerry","All mainstream national school programmes","Number","15245"
"Pupils in National Schools","1997","Kerry","Pupils with special needs in mainstream national schools","Number","293"
"Pupils in National Schools","1997","Kerry","Pupils in special national schools","Number","243"
"Pupils in National Schools","1997","Limerick","All first level school programmes","Number",""
"Pupils in National Schools","1997","Limerick","All mainstream national school programmes","Number",""
"Pupils in National Schools","1997","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","1997","Limerick","Pupils in special national schools","Number",""
