Statistic,Year,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2003,Cultivation or manufacture of drugs,Number,72
Recorded Crime Offences Under Reservation,2003,Possession of drugs for sale or supply,Number,2311
Recorded Crime Offences Under Reservation,2003,Possession of drugs for personal use,Number,6504
Recorded Crime Offences Under Reservation,2003,Other drug offences,Number,373
Recorded Crime Offences Under Reservation,2003,Weapons and Explosives Offences,Number,1915
Recorded Crime Offences Under Reservation,2003,"Explosives, chemical weapons offences",Number,52
Recorded Crime Offences Under Reservation,2003,Discharging a firearm,Number,210
Recorded Crime Offences Under Reservation,2003,Possession of a firearm,Number,370
Recorded Crime Offences Under Reservation,2003,Offensive weapons offences (n.e.c.),Number,1283
Recorded Crime Offences Under Reservation,2003,Fireworks offences,Number,0
Recorded Crime Offences Under Reservation,2003,Damage to property and to the environment,Number,34022
Recorded Crime Offences Under Reservation,2003,Arson,Number,1418
Recorded Crime Offences Under Reservation,2003,Criminal damage (not arson),Number,32517
Recorded Crime Offences Under Reservation,2003,Litter offences,Number,87
Recorded Crime Offences Under Reservation,2003,Public order and other social code offences,Number,45141
Recorded Crime Offences Under Reservation,2003,Disorderly conduct,Number,37664
Recorded Crime Offences Under Reservation,2003,Trespass offences,Number,1439
Recorded Crime Offences Under Reservation,2003,Liquor licensing offences,Number,4342
Recorded Crime Offences Under Reservation,2003,Prostitution offences,Number,196
Recorded Crime Offences Under Reservation,2003,"Regulated betting/money, collection/trading offences",Number,304
Recorded Crime Offences Under Reservation,2003,Social code offences (n.e.c.),Number,1196
Recorded Crime Offences Under Reservation,2003,"Offences against government, justice procedures and organisation of crime",Number,6834
Recorded Crime Offences Under Reservation,2003,Offences against government and its agents,Number,198
Recorded Crime Offences Under Reservation,2003,Organisation of crime and conspiracy to commit crime,Number,11
Recorded Crime Offences Under Reservation,2003,Perverting the course of justice,Number,247
Recorded Crime Offences Under Reservation,2003,"Offences while in custody, breach of court orders",Number,6378
Recorded Crime Offences Under Reservation,2004,Homicide offences,Number,124
Recorded Crime Offences Under Reservation,2004,Murder,Number,29
Recorded Crime Offences Under Reservation,2004,Manslaughter,Number,16
Recorded Crime Offences Under Reservation,2004,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2004,Dangerous driving leading to death,Number,79
Recorded Crime Offences Under Reservation,2004,Sexual offences,Number,1478
Recorded Crime Offences Under Reservation,2004,Rape of a male or female,Number,409
Recorded Crime Offences Under Reservation,2004,Defilement of a boy or girl less than 17 years old,Number,113
Recorded Crime Offences Under Reservation,2004,Sexual offence involving mentally impaired person,Number,14
Recorded Crime Offences Under Reservation,2004,Aggravated sexual assault,Number,14
Recorded Crime Offences Under Reservation,2004,Sexual assault (not aggravated),Number,865
Recorded Crime Offences Under Reservation,2004,Other sexual offences,Number,63
Recorded Crime Offences Under Reservation,2004,"Attempts/threats to murder, assaults, harassments and related offences",Number,13275
Recorded Crime Offences Under Reservation,2004,Murder-attempt,Number,1
Recorded Crime Offences Under Reservation,2004,Murder-threat,Number,47
Recorded Crime Offences Under Reservation,2004,Harassment and related offences,Number,976
Recorded Crime Offences Under Reservation,2004,"Assault causing harm, poisoning",Number,3890
Recorded Crime Offences Under Reservation,2004,Other assault,Number,8361
Recorded Crime Offences Under Reservation,2004,Dangerous or negligent acts,Number,12669
Recorded Crime Offences Under Reservation,2004,Dangerous driving causing serious bodily harm,Number,29
Recorded Crime Offences Under Reservation,2004,Driving/in charge of a vehicle while over legal alcohol limit,Number,12156
Recorded Crime Offences Under Reservation,2004,Driving/in charge of a vehicle under the influence of drugs,Number,76
Recorded Crime Offences Under Reservation,2004,Endangerment with potential for serious harm/death,Number,75
Recorded Crime Offences Under Reservation,2004,"Abandoning a child, child neglect and cruelty",Number,191
Recorded Crime Offences Under Reservation,2004,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2004,False alarm/interference with aircraft or air transport facilities,Number,19
Recorded Crime Offences Under Reservation,2004,Endangering traffic offences,Number,123
Recorded Crime Offences Under Reservation,2004,Kidnapping and related offences,Number,74
Recorded Crime Offences Under Reservation,2004,False imprisonment,Number,62
Recorded Crime Offences Under Reservation,2004,Abduction of person under 16 years of age,Number,12
Recorded Crime Offences Under Reservation,2004,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2004,"Robbery, extortion and hijacking offences",Number,2716
Recorded Crime Offences Under Reservation,2004,Robbery of an establishment or institution,Number,1076
Recorded Crime Offences Under Reservation,2004,Robbery of cash or goods in transit,Number,61
Recorded Crime Offences Under Reservation,2004,Robbery from the person,Number,1479
Recorded Crime Offences Under Reservation,2004,Blackmail or extortion,Number,15
Recorded Crime Offences Under Reservation,2004,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,85
Recorded Crime Offences Under Reservation,2004,Burglary and related offences,Number,24899
Recorded Crime Offences Under Reservation,2004,Aggravated burglary,Number,282
Recorded Crime Offences Under Reservation,2004,Burglary (not aggravated),Number,24418
Recorded Crime Offences Under Reservation,2004,"Possession of an article (with intent to burgle, steal, demand)",Number,199
Recorded Crime Offences Under Reservation,2004,Theft and related offences,Number,72182
Recorded Crime Offences Under Reservation,2004,Theft/taking of vehicle and related offences,Number,14360
Recorded Crime Offences Under Reservation,2004,Theft from person,Number,5708
Recorded Crime Offences Under Reservation,2004,Theft from shop,Number,14882
Recorded Crime Offences Under Reservation,2004,"Other thefts, handling stolen property",Number,37232
Recorded Crime Offences Under Reservation,2004,"Fraud, deception and related offences",Number,3176
Recorded Crime Offences Under Reservation,2004,Controlled drug offences,Number,9914
Recorded Crime Offences Under Reservation,2004,Importation of drugs,Number,36
Recorded Crime Offences Under Reservation,2004,Cultivation or manufacture of drugs,Number,39
Recorded Crime Offences Under Reservation,2004,Possession of drugs for sale or supply,Number,2183
Recorded Crime Offences Under Reservation,2004,Possession of drugs for personal use,Number,7196
Recorded Crime Offences Under Reservation,2004,Other drug offences,Number,460
Recorded Crime Offences Under Reservation,2004,Weapons and Explosives Offences,Number,2155
Recorded Crime Offences Under Reservation,2004,"Explosives, chemical weapons offences",Number,65
Recorded Crime Offences Under Reservation,2004,Discharging a firearm,Number,291
Recorded Crime Offences Under Reservation,2004,Possession of a firearm,Number,374
Recorded Crime Offences Under Reservation,2004,Offensive weapons offences (n.e.c.),Number,1424
Recorded Crime Offences Under Reservation,2004,Fireworks offences,Number,1
Recorded Crime Offences Under Reservation,2004,Damage to property and to the environment,Number,37038
Recorded Crime Offences Under Reservation,2004,Arson,Number,1501
Recorded Crime Offences Under Reservation,2004,Criminal damage (not arson),Number,35431
Recorded Crime Offences Under Reservation,2004,Litter offences,Number,106
Recorded Crime Offences Under Reservation,2004,Public order and other social code offences,Number,47779
Recorded Crime Offences Under Reservation,2004,Disorderly conduct,Number,38224
Recorded Crime Offences Under Reservation,2004,Trespass offences,Number,1567
Recorded Crime Offences Under Reservation,2004,Liquor licensing offences,Number,6688
Recorded Crime Offences Under Reservation,2004,Prostitution offences,Number,219
Recorded Crime Offences Under Reservation,2004,"Regulated betting/money, collection/trading offences",Number,317
Recorded Crime Offences Under Reservation,2004,Social code offences (n.e.c.),Number,764
Recorded Crime Offences Under Reservation,2004,"Offences against government, justice procedures and organisation of crime",Number,6455
Recorded Crime Offences Under Reservation,2004,Offences against government and its agents,Number,165
Recorded Crime Offences Under Reservation,2004,Organisation of crime and conspiracy to commit crime,Number,16
Recorded Crime Offences Under Reservation,2004,Perverting the course of justice,Number,263
Recorded Crime Offences Under Reservation,2004,"Offences while in custody, breach of court orders",Number,6011
Recorded Crime Offences Under Reservation,2005,Homicide offences,Number,137
Recorded Crime Offences Under Reservation,2005,Murder,Number,52
Recorded Crime Offences Under Reservation,2005,Manslaughter,Number,17
Recorded Crime Offences Under Reservation,2005,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2005,Dangerous driving leading to death,Number,68
Recorded Crime Offences Under Reservation,2005,Sexual offences,Number,1560
Recorded Crime Offences Under Reservation,2005,Rape of a male or female,Number,420
Recorded Crime Offences Under Reservation,2005,Defilement of a boy or girl less than 17 years old,Number,114
Recorded Crime Offences Under Reservation,2005,Sexual offence involving mentally impaired person,Number,12
Recorded Crime Offences Under Reservation,2005,Aggravated sexual assault,Number,7
Recorded Crime Offences Under Reservation,2005,Sexual assault (not aggravated),Number,949
Recorded Crime Offences Under Reservation,2005,Other sexual offences,Number,58
Recorded Crime Offences Under Reservation,2005,"Attempts/threats to murder, assaults, harassments and related offences",Number,13683
Recorded Crime Offences Under Reservation,2005,Murder-attempt,Number,7
Recorded Crime Offences Under Reservation,2005,Murder-threat,Number,95
Recorded Crime Offences Under Reservation,2005,Harassment and related offences,Number,1116
Recorded Crime Offences Under Reservation,2005,"Assault causing harm, poisoning",Number,3709
Recorded Crime Offences Under Reservation,2005,Other assault,Number,8756
Recorded Crime Offences Under Reservation,2005,Dangerous or negligent acts,Number,14705
Recorded Crime Offences Under Reservation,2005,Dangerous driving causing serious bodily harm,Number,22
Recorded Crime Offences Under Reservation,2005,Driving/in charge of a vehicle while over legal alcohol limit,Number,14064
Recorded Crime Offences Under Reservation,2005,Driving/in charge of a vehicle under the influence of drugs,Number,106
Recorded Crime Offences Under Reservation,2005,Endangerment with potential for serious harm/death,Number,80
Recorded Crime Offences Under Reservation,2005,"Abandoning a child, child neglect and cruelty",Number,264
Recorded Crime Offences Under Reservation,2005,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2005,False alarm/interference with aircraft or air transport facilities,Number,18
Recorded Crime Offences Under Reservation,2005,Endangering traffic offences,Number,151
Recorded Crime Offences Under Reservation,2005,Kidnapping and related offences,Number,74
Recorded Crime Offences Under Reservation,2005,False imprisonment,Number,58
Recorded Crime Offences Under Reservation,2005,Abduction of person under 16 years of age,Number,16
Recorded Crime Offences Under Reservation,2005,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2005,"Robbery, extortion and hijacking offences",Number,2423
Recorded Crime Offences Under Reservation,2005,Robbery of an establishment or institution,Number,1152
Recorded Crime Offences Under Reservation,2005,Robbery of cash or goods in transit,Number,44
Recorded Crime Offences Under Reservation,2005,Robbery from the person,Number,1137
Recorded Crime Offences Under Reservation,2005,Blackmail or extortion,Number,18
Recorded Crime Offences Under Reservation,2005,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,72
Recorded Crime Offences Under Reservation,2005,Burglary and related offences,Number,26371
Recorded Crime Offences Under Reservation,2005,Aggravated burglary,Number,274
Recorded Crime Offences Under Reservation,2005,Burglary (not aggravated),Number,25900
Recorded Crime Offences Under Reservation,2005,"Possession of an article (with intent to burgle, steal, demand)",Number,197
Recorded Crime Offences Under Reservation,2005,Theft and related offences,Number,73027
Recorded Crime Offences Under Reservation,2005,Theft/taking of vehicle and related offences,Number,14188
Recorded Crime Offences Under Reservation,2005,Theft from person,Number,4610
Recorded Crime Offences Under Reservation,2005,Theft from shop,Number,16463
Recorded Crime Offences Under Reservation,2005,"Other thefts, handling stolen property",Number,37766
Recorded Crime Offences Under Reservation,2005,"Fraud, deception and related offences",Number,3753
Recorded Crime Offences Under Reservation,2005,Controlled drug offences,Number,13346
Recorded Crime Offences Under Reservation,2005,Importation of drugs,Number,36
Recorded Crime Offences Under Reservation,2005,Cultivation or manufacture of drugs,Number,50
Recorded Crime Offences Under Reservation,2005,Possession of drugs for sale or supply,Number,2652
Recorded Crime Offences Under Reservation,2005,Possession of drugs for personal use,Number,10067
Recorded Crime Offences Under Reservation,2005,Other drug offences,Number,541
Recorded Crime Offences Under Reservation,2005,Weapons and Explosives Offences,Number,2553
Recorded Crime Offences Under Reservation,2005,"Explosives, chemical weapons offences",Number,102
Recorded Crime Offences Under Reservation,2005,Discharging a firearm,Number,311
Recorded Crime Offences Under Reservation,2005,Possession of a firearm,Number,431
Recorded Crime Offences Under Reservation,2005,Offensive weapons offences (n.e.c.),Number,1706
Recorded Crime Offences Under Reservation,2005,Fireworks offences,Number,3
Recorded Crime Offences Under Reservation,2005,Damage to property and to the environment,Number,39717
Recorded Crime Offences Under Reservation,2005,Arson,Number,1414
Recorded Crime Offences Under Reservation,2005,Criminal damage (not arson),Number,38175
Recorded Crime Offences Under Reservation,2005,Litter offences,Number,128
Recorded Crime Offences Under Reservation,2005,Public order and other social code offences,Number,55486
Recorded Crime Offences Under Reservation,2005,Disorderly conduct,Number,42429
Recorded Crime Offences Under Reservation,2005,Trespass offences,Number,1842
Recorded Crime Offences Under Reservation,2005,Liquor licensing offences,Number,9684
Recorded Crime Offences Under Reservation,2005,Prostitution offences,Number,85
Recorded Crime Offences Under Reservation,2005,"Regulated betting/money, collection/trading offences",Number,370
Recorded Crime Offences Under Reservation,2005,Social code offences (n.e.c.),Number,1076
Recorded Crime Offences Under Reservation,2005,"Offences against government, justice procedures and organisation of crime",Number,7786
Recorded Crime Offences Under Reservation,2005,Offences against government and its agents,Number,147
Recorded Crime Offences Under Reservation,2005,Organisation of crime and conspiracy to commit crime,Number,5
Recorded Crime Offences Under Reservation,2005,Perverting the course of justice,Number,225
Recorded Crime Offences Under Reservation,2005,"Offences while in custody, breach of court orders",Number,7409
Recorded Crime Offences Under Reservation,2006,Homicide offences,Number,144
Recorded Crime Offences Under Reservation,2006,Murder,Number,60
Recorded Crime Offences Under Reservation,2006,Manslaughter,Number,14
Recorded Crime Offences Under Reservation,2006,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2006,Dangerous driving leading to death,Number,70
Recorded Crime Offences Under Reservation,2006,Sexual offences,Number,1441
Recorded Crime Offences Under Reservation,2006,Rape of a male or female,Number,366
Recorded Crime Offences Under Reservation,2006,Defilement of a boy or girl less than 17 years old,Number,70
Recorded Crime Offences Under Reservation,2006,Sexual offence involving mentally impaired person,Number,15
Recorded Crime Offences Under Reservation,2006,Aggravated sexual assault,Number,16
Recorded Crime Offences Under Reservation,2006,Sexual assault (not aggravated),Number,915
Recorded Crime Offences Under Reservation,2006,Other sexual offences,Number,59
Recorded Crime Offences Under Reservation,2006,"Attempts/threats to murder, assaults, harassments and related offences",Number,15558
Recorded Crime Offences Under Reservation,2006,Murder-attempt,Number,8
Recorded Crime Offences Under Reservation,2006,Murder-threat,Number,97
Recorded Crime Offences Under Reservation,2006,Harassment and related offences,Number,1669
Recorded Crime Offences Under Reservation,2006,"Assault causing harm, poisoning",Number,4005
Recorded Crime Offences Under Reservation,2006,Other assault,Number,9779
Recorded Crime Offences Under Reservation,2006,Dangerous or negligent acts,Number,19197
Recorded Crime Offences Under Reservation,2006,Dangerous driving causing serious bodily harm,Number,24
Recorded Crime Offences Under Reservation,2006,Driving/in charge of a vehicle while over legal alcohol limit,Number,18519
Recorded Crime Offences Under Reservation,2006,Driving/in charge of a vehicle under the influence of drugs,Number,117
Recorded Crime Offences Under Reservation,2006,Endangerment with potential for serious harm/death,Number,70
Recorded Crime Offences Under Reservation,2006,"Abandoning a child, child neglect and cruelty",Number,300
Recorded Crime Offences Under Reservation,2006,Unseaworthy/dangerous use of boat or ship,Number,0
Recorded Crime Offences Under Reservation,2006,False alarm/interference with aircraft or air transport facilities,Number,16
Recorded Crime Offences Under Reservation,2006,Endangering traffic offences,Number,151
Recorded Crime Offences Under Reservation,2006,Kidnapping and related offences,Number,82
Recorded Crime Offences Under Reservation,2006,False imprisonment,Number,70
Recorded Crime Offences Under Reservation,2006,Abduction of person under 16 years of age,Number,12
Recorded Crime Offences Under Reservation,2006,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2006,"Robbery, extortion and hijacking offences",Number,2489
Recorded Crime Offences Under Reservation,2006,Robbery of an establishment or institution,Number,1103
Recorded Crime Offences Under Reservation,2006,Robbery of cash or goods in transit,Number,31
Recorded Crime Offences Under Reservation,2006,Robbery from the person,Number,1254
Recorded Crime Offences Under Reservation,2006,Blackmail or extortion,Number,11
Recorded Crime Offences Under Reservation,2006,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,90
Recorded Crime Offences Under Reservation,2006,Burglary and related offences,Number,24819
Recorded Crime Offences Under Reservation,2006,Aggravated burglary,Number,285
Recorded Crime Offences Under Reservation,2006,Burglary (not aggravated),Number,24300
Recorded Crime Offences Under Reservation,2006,"Possession of an article (with intent to burgle, steal, demand)",Number,234
Recorded Crime Offences Under Reservation,2006,Theft and related offences,Number,74515
Recorded Crime Offences Under Reservation,2006,Theft/taking of vehicle and related offences,Number,13656
Recorded Crime Offences Under Reservation,2006,Theft from person,Number,3590
Recorded Crime Offences Under Reservation,2006,Theft from shop,Number,18433
Recorded Crime Offences Under Reservation,2006,"Other thefts, handling stolen property",Number,38836
Recorded Crime Offences Under Reservation,2006,"Fraud, deception and related offences",Number,4338
Recorded Crime Offences Under Reservation,2006,Controlled drug offences,Number,14229
Recorded Crime Offences Under Reservation,2006,Importation of drugs,Number,43
Recorded Crime Offences Under Reservation,2006,Cultivation or manufacture of drugs,Number,91
Recorded Crime Offences Under Reservation,2006,Possession of drugs for sale or supply,Number,2999
Recorded Crime Offences Under Reservation,2006,Possession of drugs for personal use,Number,10490
Recorded Crime Offences Under Reservation,2006,Other drug offences,Number,606
Recorded Crime Offences Under Reservation,2006,Weapons and Explosives Offences,Number,3123
Recorded Crime Offences Under Reservation,2006,"Explosives, chemical weapons offences",Number,166
Recorded Crime Offences Under Reservation,2006,Discharging a firearm,Number,297
Recorded Crime Offences Under Reservation,2006,Possession of a firearm,Number,419
Recorded Crime Offences Under Reservation,2006,Offensive weapons offences (n.e.c.),Number,2203
Recorded Crime Offences Under Reservation,2006,Fireworks offences,Number,38
Recorded Crime Offences Under Reservation,2006,Damage to property and to the environment,Number,43589
Recorded Crime Offences Under Reservation,2006,Arson,Number,1660
Recorded Crime Offences Under Reservation,2006,Criminal damage (not arson),Number,41789
Recorded Crime Offences Under Reservation,2006,Litter offences,Number,140
Recorded Crime Offences Under Reservation,2006,Public order and other social code offences,Number,56600
Recorded Crime Offences Under Reservation,2006,Disorderly conduct,Number,47250
Recorded Crime Offences Under Reservation,2006,Trespass offences,Number,2362
Recorded Crime Offences Under Reservation,2006,Liquor licensing offences,Number,5648
Recorded Crime Offences Under Reservation,2006,Prostitution offences,Number,105
Recorded Crime Offences Under Reservation,2006,"Regulated betting/money, collection/trading offences",Number,417
Recorded Crime Offences Under Reservation,2006,Social code offences (n.e.c.),Number,818
Recorded Crime Offences Under Reservation,2006,"Offences against government, justice procedures and organisation of crime",Number,9475
Recorded Crime Offences Under Reservation,2006,Offences against government and its agents,Number,238
Recorded Crime Offences Under Reservation,2006,Organisation of crime and conspiracy to commit crime,Number,19
Recorded Crime Offences Under Reservation,2006,Perverting the course of justice,Number,249
Recorded Crime Offences Under Reservation,2006,"Offences while in custody, breach of court orders",Number,8969
Recorded Crime Offences Under Reservation,2007,Homicide offences,Number,152
Recorded Crime Offences Under Reservation,2007,Murder,Number,78
Recorded Crime Offences Under Reservation,2007,Manslaughter,Number,8
Recorded Crime Offences Under Reservation,2007,Infanticide,Number,1
Recorded Crime Offences Under Reservation,2007,Dangerous driving leading to death,Number,65
Recorded Crime Offences Under Reservation,2007,Sexual offences,Number,1359
Recorded Crime Offences Under Reservation,2007,Rape of a male or female,Number,355
Recorded Crime Offences Under Reservation,2007,Defilement of a boy or girl less than 17 years old,Number,71
Recorded Crime Offences Under Reservation,2007,Sexual offence involving mentally impaired person,Number,12
Recorded Crime Offences Under Reservation,2007,Aggravated sexual assault,Number,17
Recorded Crime Offences Under Reservation,2007,Sexual assault (not aggravated),Number,812
Recorded Crime Offences Under Reservation,2007,Other sexual offences,Number,92
Recorded Crime Offences Under Reservation,2007,"Attempts/threats to murder, assaults, harassments and related offences",Number,18141
Recorded Crime Offences Under Reservation,2007,Murder-attempt,Number,4
Recorded Crime Offences Under Reservation,2007,Murder-threat,Number,164
Recorded Crime Offences Under Reservation,2007,Harassment and related offences,Number,2541
Recorded Crime Offences Under Reservation,2007,"Assault causing harm, poisoning",Number,3912
Recorded Crime Offences Under Reservation,2007,Other assault,Number,11520
Recorded Crime Offences Under Reservation,2007,Dangerous or negligent acts,Number,20728
Recorded Crime Offences Under Reservation,2007,Dangerous driving causing serious bodily harm,Number,26
Recorded Crime Offences Under Reservation,2007,Driving/in charge of a vehicle while over legal alcohol limit,Number,19547
Recorded Crime Offences Under Reservation,2007,Driving/in charge of a vehicle under the influence of drugs,Number,289
Recorded Crime Offences Under Reservation,2007,Endangerment with potential for serious harm/death,Number,68
Recorded Crime Offences Under Reservation,2007,"Abandoning a child, child neglect and cruelty",Number,554
Recorded Crime Offences Under Reservation,2007,Unseaworthy/dangerous use of boat or ship,Number,1
Recorded Crime Offences Under Reservation,2007,False alarm/interference with aircraft or air transport facilities,Number,21
Recorded Crime Offences Under Reservation,2007,Endangering traffic offences,Number,222
Recorded Crime Offences Under Reservation,2007,Kidnapping and related offences,Number,108
Recorded Crime Offences Under Reservation,2007,False imprisonment,Number,93
Recorded Crime Offences Under Reservation,2007,Abduction of person under 16 years of age,Number,15
Recorded Crime Offences Under Reservation,2007,Human trafficking offences,Number,0
Recorded Crime Offences Under Reservation,2007,"Robbery, extortion and hijacking offences",Number,2204
Recorded Crime Offences Under Reservation,2007,Robbery of an establishment or institution,Number,816
Recorded Crime Offences Under Reservation,2007,Robbery of cash or goods in transit,Number,20
Recorded Crime Offences Under Reservation,2007,Robbery from the person,Number,1282
Recorded Crime Offences Under Reservation,2007,Blackmail or extortion,Number,21
Recorded Crime Offences Under Reservation,2007,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,65
Recorded Crime Offences Under Reservation,2007,Burglary and related offences,Number,24007
Recorded Crime Offences Under Reservation,2007,Aggravated burglary,Number,260
Recorded Crime Offences Under Reservation,2007,Burglary (not aggravated),Number,23447
Recorded Crime Offences Under Reservation,2007,"Possession of an article (with intent to burgle, steal, demand)",Number,300
Recorded Crime Offences Under Reservation,2007,Theft and related offences,Number,75129
Recorded Crime Offences Under Reservation,2007,Theft/taking of vehicle and related offences,Number,13609
Recorded Crime Offences Under Reservation,2007,Theft from person,Number,2909
Recorded Crime Offences Under Reservation,2007,Theft from shop,Number,18769
Recorded Crime Offences Under Reservation,2007,"Other thefts, handling stolen property",Number,39842
Recorded Crime Offences Under Reservation,2007,"Fraud, deception and related offences",Number,6274
Recorded Crime Offences Under Reservation,2007,Controlled drug offences,Number,18523
Recorded Crime Offences Under Reservation,2007,Importation of drugs,Number,53
Recorded Crime Offences Under Reservation,2007,Cultivation or manufacture of drugs,Number,162
Recorded Crime Offences Under Reservation,2007,Possession of drugs for sale or supply,Number,3580
Recorded Crime Offences Under Reservation,2007,Possession of drugs for personal use,Number,13994
Recorded Crime Offences Under Reservation,2007,Other drug offences,Number,734
Recorded Crime Offences Under Reservation,2007,Weapons and Explosives Offences,Number,3597
Recorded Crime Offences Under Reservation,2007,"Explosives, chemical weapons offences",Number,28
Recorded Crime Offences Under Reservation,2007,Discharging a firearm,Number,331
Recorded Crime Offences Under Reservation,2007,Possession of a firearm,Number,415
Recorded Crime Offences Under Reservation,2007,Offensive weapons offences (n.e.c.),Number,2573
Recorded Crime Offences Under Reservation,2007,Fireworks offences,Number,250
Recorded Crime Offences Under Reservation,2007,Damage to property and to the environment,Number,43274
Recorded Crime Offences Under Reservation,2007,Arson,Number,2099
Recorded Crime Offences Under Reservation,2007,Criminal damage (not arson),Number,40960
Recorded Crime Offences Under Reservation,2007,Litter offences,Number,215
Recorded Crime Offences Under Reservation,2007,Public order and other social code offences,Number,60701
Recorded Crime Offences Under Reservation,2007,Disorderly conduct,Number,51341
Recorded Crime Offences Under Reservation,2007,Trespass offences,Number,3043
Recorded Crime Offences Under Reservation,2007,Liquor licensing offences,Number,4917
Recorded Crime Offences Under Reservation,2007,Prostitution offences,Number,110
Recorded Crime Offences Under Reservation,2007,"Regulated betting/money, collection/trading offences",Number,541
Recorded Crime Offences Under Reservation,2007,Social code offences (n.e.c.),Number,749
Recorded Crime Offences Under Reservation,2007,"Offences against government, justice procedures and organisation of crime",Number,10914
